Index, F1Validation, F1Test, PrecisionTest, RecallTest, Features, Classifier, Params
71, 0.24185078732107876, 0.029940768796841002, 0.0153408, 0.62, EuclidianDist., SVM Polyn., {$\gamma=1, \text{deg}=10$}
88, 0.10730615698411985, 0.018729285121746396, 0.00945546, 0.975, CenterDist., SVM Sigmoid, {$\gamma=0.4$}
86, 0.10578474955049949, 0.018888632325214174, 0.00953528, 0.99, CenterDist., SVM Sigmoid, {$\gamma=2$}
87, 0.10560522669227232, 0.019055821234223252, 0.00962003, 0.995, CenterDist., SVM Sigmoid, {$\gamma=5$}
85, 0.10126581558329588, 0.019335408357572557, 0.00976256, 0.995, CenterDist., SVM Sigmoid, {$\gamma=1$}
